personnel_id,age,deployment_days,daily_duty_hours,night_duties,leave_days,days_since_last_leave,transfer_frequency,training_days,workload_7_days,workload_30_days,sleep_hours,wellness_score,self_reported_stress,stress_risk
1,27,179,6.78,2,22,75,2,20,68.09,76.65,7.38,21.54,92.44,1
2,48,20,10.09,0,11,58,4,11,21.84,61.98,6.36,93.03,29.79,0
3,50,174,6.05,3,24,3,4,18,74.42,56.04,8.78,20.99,90.09,1
4,46,52,11.24,1,19,92,3,6,68.8,86.66,6.54,33.67,74.21,0
5,50,133,9.65,12,30,18,1,11,95.16,91.59,5.33,64.84,88.36,1
6,36,81,8.4,14,20,24,1,12,31.27,84.18,6.19,20.41,79.31,1
7,37,135,10.79,4,9,103,1,8,93.2,88.0,7.91,53.71,18.11,1
8,25,98,6.75,11,7,86,2,2,57.78,29.57,8.17,62.1,75.53,1
9,27,26,5.0,9,27,77,2,6,58.03,65.06,7.99,72.16,21.84,0
10,49,35,13.57,12,6,59,2,1,69.95,43.65,6.87,36.38,45.4,0
11,50,74,7.45,8,6,62,0,0,38.23,54.17,6.57,81.35,83.16,0
12,29,61,8.53,4,0,51,1,11,39.53,33.46,7.36,50.29,15.52,0
13,46,51,10.64,2,16,101,0,16,41.34,98.13,5.73,50.83,12.81,1
14,50,129,6.15,4,11,90,3,10,49.57,39.37,6.84,93.76,43.9,1
15,36,143,8.01,5,15,93,2,19,46.08,37.62,8.11,73.34,78.81,1
16,29,160,8.46,7,6,82,0,10,47.29,29.08,7.98,81.29,57.19,0
17,48,112,8.35,11,4,37,2,8,42.31,76.03,6.75,83.5,82.79,1
18,40,74,8.55,0,7,36,3,2,49.78,95.21,6.83,53.63,94.53,0
19,24,160,8.99,15,19,120,2,16,44.64,63.4,6.54,58.16,64.09,1
20,26,108,6.0,2,21,8,2,1,48.01,71.61,8.02,37.26,52.43,0
21,24,34,8.98,13,20,6,2,8,96.25,46.46,7.23,61.46,58.64,0
22,21,66,7.81,15,17,25,1,2,65.6,27.77,7.07,85.8,72.97,0
23,21,136,7.08,12,9,119,1,2,40.5,68.92,8.66,26.12,10.44,0
24,28,143,9.99,13,11,115,3,1,27.52,66.26,6.95,60.7,34.36,1
25,46,57,8.06,11,4,97,4,11,97.22,56.58,8.31,83.15,26.52,1
26,28,51,7.52,15,12,114,3,9,45.84,83.61,6.47,25.88,12.15,0
27,41,61,10.01,4,0,58,1,0,55.39,39.18,8.04,27.04,25.54,0
28,49,68,10.16,5,28,119,2,11,65.28,32.69,6.59,26.88,18.0,0
29,50,143,8.96,6,3,33,4,9,95.93,90.93,5.88,39.57,11.3,1
30,44,68,10.51,12,3,16,1,16,89.38,70.91,7.73,63.0,20.92,1
31,49,178,9.89,0,0,40,1,10,35.66,25.55,8.36,27.56,11.55,1
32,37,89,7.75,7,28,26,1,1,40.86,59.68,5.75,90.25,13.33,0
33,45,20,9.1,4,8,24,2,16,78.53,30.22,7.59,38.75,59.35,0
34,32,112,11.14,6,12,23,0,2,28.25,92.2,8.57,44.0,86.12,1
35,37,99,8.46,13,30,52,2,14,26.66,27.34,6.26,65.18,57.06,1
36,41,41,9.5,9,6,14,1,4,78.96,63.67,8.07,85.02,81.27,0
37,34,140,7.99,10,25,66,4,4,38.66,66.5,5.37,84.74,84.83,1
38,33,131,8.63,3,5,31,2,11,64.67,53.94,6.64,55.15,14.79,0
39,48,60,10.11,2,12,92,0,16,26.63,62.27,7.88,52.73,78.18,0
40,35,148,9.78,15,21,85,2,4,40.24,75.63,6.16,94.69,69.24,1
41,23,143,9.73,9,15,72,3,20,42.19,35.05,7.25,54.78,40.03,1
42,29,154,9.3,5,30,17,0,0,52.9,68.22,6.22,25.72,89.95,1
43,39,46,9.28,4,22,120,0,0,58.43,98.82,8.24,48.26,73.71,1
44,37,160,8.25,1,8,99,0,20,24.51,89.18,7.01,77.67,90.31,1
45,30,82,8.37,13,0,51,4,12,36.58,90.26,5.08,76.77,13.99,0
46,23,122,8.46,1,11,65,3,4,27.07,83.35,6.32,51.54,76.7,1
47,34,65,9.41,1,1,82,2,18,92.33,47.86,7.06,58.55,76.61,1
48,39,80,6.24,4,28,4,1,16,59.37,40.66,7.46,56.95,37.94,0
49,31,42,8.75,8,22,55,2,15,71.27,34.55,6.91,45.93,86.23,1
50,38,60,8.36,9,18,19,4,4,47.61,47.81,7.06,60.08,40.26,0
51,34,33,8.25,10,8,26,0,14,70.23,26.54,6.02,85.52,88.27,0
52,21,7,8.56,0,2,52,1,13,57.0,79.8,7.69,58.38,55.23,0
53,33,17,12.05,14,24,119,4,9,65.12,87.26,4.05,26.69,55.5,1
54,45,67,6.61,9,2,105,4,17,26.95,62.97,8.83,52.37,20.84,1
55,29,100,11.79,1,26,56,2,12,46.43,94.7,5.43,20.57,29.15,1
56,50,74,5.0,13,29,94,0,2,61.96,52.83,7.47,84.91,79.45,0
57,37,93,10.0,8,1,79,2,7,58.13,87.09,5.83,35.38,92.28,1
58,40,112,10.28,11,14,1,1,13,43.09,66.5,6.92,59.94,14.41,0
59,38,9,12.99,1,12,40,1,19,40.37,74.52,9.0,77.02,60.63,0
60,50,94,7.41,0,4,62,3,11,52.68,94.64,7.8,74.12,14.09,0
61,49,71,10.06,11,29,35,4,4,85.17,73.22,7.84,59.23,40.5,1
62,28,71,10.9,6,7,14,2,5,63.18,55.1,4.77,49.36,55.21,1
63,41,103,9.48,5,5,67,2,7,75.5,33.34,5.16,85.9,52.11,1
64,49,37,12.17,8,0,101,2,0,22.68,65.59,7.57,45.66,79.81,1
65,35,108,8.46,12,7,5,4,14,52.72,81.75,5.83,20.92,60.87,1
66,47,68,10.03,3,10,74,1,13,69.2,92.95,8.04,64.47,18.69,0
67,36,67,11.41,14,25,9,2,13,94.75,94.05,7.81,53.81,19.63,1
68,28,142,11.19,4,14,73,4,8,36.45,83.02,5.9,51.09,83.4,1
69,26,129,5.89,10,16,43,2,11,93.02,39.86,3.66,63.32,24.07,0
70,46,155,10.81,1,20,49,0,19,56.72,64.58,7.13,33.83,35.47,1
71,33,178,9.4,15,29,29,0,12,50.22,86.93,6.83,64.06,34.99,1
72,42,112,12.64,1,29,38,2,3,34.55,88.94,6.82,40.31,64.74,1
73,48,86,8.49,8,22,67,2,7,28.33,83.99,8.23,33.39,65.48,1
74,44,77,8.54,15,23,46,2,15,51.77,73.45,6.21,87.23,11.11,0
75,27,160,9.65,11,17,2,0,14,69.98,46.87,5.5,81.88,40.86,1
76,29,52,7.66,11,2,116,1,11,31.21,89.48,8.17,79.99,46.14,0
77,39,13,10.74,8,6,73,2,13,98.75,62.06,8.27,32.88,33.15,1
78,26,33,7.04,0,4,25,1,11,36.51,20.88,7.31,65.04,66.53,0
79,27,137,8.68,11,29,46,1,10,34.75,27.23,7.97,77.82,15.8,0
80,24,112,11.42,10,6,104,2,1,51.73,96.33,6.94,40.24,55.89,1
81,39,80,14.12,1,8,26,1,20,47.55,48.12,6.88,50.96,69.92,0
82,23,130,13.61,1,4,108,3,18,41.77,67.22,6.13,88.8,21.63,1
83,30,56,6.36,13,15,88,2,7,71.12,80.72,6.73,74.31,64.16,1
84,29,108,11.06,9,14,32,1,15,94.02,34.45,7.98,22.55,69.28,1
85,29,114,8.92,13,19,39,2,17,61.79,71.56,7.82,68.76,41.0,1
86,23,36,14.48,10,7,90,3,6,45.22,63.16,6.22,66.94,85.31,1
87,30,107,9.16,15,2,39,3,16,52.15,58.39,8.28,67.06,84.26,1
88,25,64,5.48,13,16,3,4,13,43.76,88.23,7.8,40.79,87.38,1
89,35,72,8.51,3,11,59,1,4,82.91,27.15,5.94,51.32,84.73,0
90,33,152,10.35,6,19,4,2,7,95.42,71.97,7.35,37.3,25.0,1
91,46,168,10.11,5,4,5,0,8,94.22,99.59,6.25,33.04,43.68,1
92,44,2,11.1,15,2,102,4,14,22.79,91.59,6.84,49.34,33.2,1
93,49,136,8.86,8,4,11,2,1,52.68,49.82,6.77,39.48,71.49,0
94,48,175,8.98,12,27,69,4,16,24.92,90.63,8.09,62.85,66.28,1
95,28,90,9.82,7,18,80,3,0,32.59,32.83,7.77,45.05,30.29,0
96,25,44,10.19,9,24,115,1,9,85.6,38.29,8.88,39.4,26.42,1
97,33,45,10.31,7,30,98,3,12,82.39,28.56,4.73,77.08,56.01,1
98,48,78,9.56,13,4,93,3,19,75.03,25.43,8.29,25.05,59.48,1
99,21,21,8.04,1,13,64,4,11,79.97,30.41,7.15,76.87,12.09,0
100,46,25,8.87,1,13,98,4,3,54.09,56.11,7.53,72.03,28.77,0
101,22,174,11.24,10,2,81,3,20,92.76,88.59,8.57,92.34,74.61,1
102,46,123,7.87,5,14,34,4,2,22.49,72.13,8.14,55.49,92.3,1
103,34,144,12.25,6,2,93,3,20,92.95,97.4,4.02,33.91,49.28,1
104,29,165,10.21,15,24,60,4,20,67.22,54.66,9.0,49.67,92.85,1
105,26,31,11.43,11,5,41,2,18,28.39,39.36,7.89,94.0,22.11,1
106,40,160,8.95,9,7,32,1,0,61.42,27.03,6.68,25.89,43.74,1
107,22,165,12.6,1,14,98,1,11,28.37,70.91,7.77,72.99,12.68,1
108,28,71,9.72,1,27,62,3,14,85.19,26.41,7.14,81.3,48.45,1
109,23,126,12.47,10,17,118,3,11,32.76,89.74,7.24,36.44,92.95,1
110,43,52,7.94,6,18,44,1,5,77.54,38.28,5.65,71.02,16.14,0
111,35,96,8.33,4,30,58,4,19,70.3,78.83,7.42,77.58,52.91,1
112,29,163,14.89,9,20,98,3,1,67.82,83.44,5.93,48.79,49.59,1
113,41,142,10.5,3,15,94,1,11,49.83,61.01,6.14,50.98,15.88,0
114,49,110,8.72,13,23,103,0,19,67.44,33.08,7.45,39.36,65.82,1
115,21,167,5.76,6,14,31,2,9,25.88,33.58,8.86,58.98,38.65,0
116,40,7,11.47,10,11,1,0,19,50.35,68.44,7.6,78.63,69.96,0
117,44,155,9.35,10,28,20,1,13,24.57,62.49,8.31,90.25,13.34,0
118,41,58,6.93,4,0,113,2,13,75.06,51.79,9.0,21.3,37.47,1
119,49,38,11.0,1,22,44,3,12,31.48,95.19,3.52,74.97,23.8,0
120,49,95,7.38,5,4,111,1,0,87.05,95.57,6.96,66.34,83.86,1
121,28,112,11.21,2,30,80,4,15,72.1,28.53,8.42,69.34,94.95,1
122,29,76,8.5,14,8,75,3,1,52.33,46.16,8.26,77.17,77.81,1
123,39,108,8.7,5,6,89,4,14,70.42,68.79,7.15,62.26,42.34,1
124,37,34,11.22,11,5,90,2,2,33.48,71.41,7.0,60.68,90.88,1
125,22,155,6.22,4,14,44,3,14,51.55,63.95,5.03,76.02,70.82,1
126,31,79,9.17,14,20,15,0,3,94.16,24.82,6.77,27.61,51.3,1
127,36,116,7.02,14,27,35,1,3,77.41,51.99,5.68,93.25,79.97,0
128,32,73,9.13,6,12,31,0,9,34.82,93.42,6.01,81.18,41.75,0
129,33,105,9.49,11,8,26,0,14,68.88,52.88,9.0,82.99,86.5,0
130,25,67,7.61,1,23,19,3,6,73.4,27.64,6.0,64.0,24.28,1
131,23,107,8.29,0,21,48,4,14,38.42,36.49,7.54,67.85,31.84,0
132,45,1,9.33,15,2,7,4,17,52.35,54.26,8.17,94.34,20.91,1
133,39,67,10.14,6,12,110,3,7,71.62,67.66,8.95,50.09,41.19,1
134,33,48,5.9,11,1,60,4,11,38.7,63.2,7.4,59.97,37.57,1
135,23,85,10.39,1,22,30,3,7,66.44,27.1,9.0,92.12,63.97,0
136,30,157,10.05,8,22,16,3,16,44.07,98.5,4.2,28.99,92.8,1
137,42,4,10.73,0,24,30,4,19,69.89,27.13,7.92,76.65,20.86,0
138,22,141,10.16,3,0,23,1,12,48.81,27.01,7.1,42.91,43.74,1
139,43,153,9.78,2,21,43,3,4,51.28,60.09,9.0,49.79,55.88,1
140,30,157,11.17,13,5,67,3,13,26.47,52.24,7.64,45.96,92.93,1
141,30,24,7.56,0,3,95,0,13,91.86,86.35,9.0,43.81,90.99,1
142,22,135,11.0,4,1,68,0,14,97.05,63.96,6.92,43.39,53.02,1
143,38,59,9.1,6,18,31,2,4,82.46,56.78,6.72,24.36,94.56,1
144,29,82,8.33,8,2,21,0,13,28.08,75.37,7.02,94.75,79.19,0
145,27,123,10.9,11,5,103,1,4,90.93,55.98,5.22,34.6,41.26,1
146,25,85,8.37,4,29,55,1,20,21.54,40.79,6.34,60.15,28.29,0
147,41,180,7.01,11,10,63,4,19,41.28,31.94,6.96,29.54,83.5,1
148,23,179,6.52,12,5,42,4,9,91.37,96.43,6.2,71.61,47.2,1
149,49,96,8.82,10,22,34,2,7,38.16,91.15,8.11,53.8,85.01,1
150,28,86,8.85,10,0,109,2,2,20.97,96.52,6.04,42.24,39.72,1
151,35,134,7.78,9,4,5,1,5,26.61,61.17,8.43,87.42,76.51,0
152,29,168,7.24,8,25,119,1,9,83.9,43.43,7.07,63.68,73.59,1
153,48,10,7.34,7,26,78,3,17,95.45,39.26,7.24,29.11,26.78,1
154,23,121,10.63,15,29,119,0,11,93.51,40.18,6.7,83.15,71.92,1
155,27,150,6.92,5,21,107,0,12,33.19,30.54,7.6,74.45,79.51,1
156,44,43,6.02,12,21,43,4,0,60.67,43.8,9.0,85.5,64.08,0
157,25,110,9.41,7,0,108,4,2,99.34,27.93,5.55,50.11,78.01,1
158,34,154,6.2,1,8,112,4,8,64.34,20.42,6.06,91.86,41.27,1
159,31,143,8.09,7,18,101,1,3,50.83,71.47,6.02,78.53,28.46,1
160,42,102,7.25,4,9,38,3,12,27.44,67.06,9.0,24.86,59.3,1
161,43,131,8.96,13,17,19,3,18,59.86,26.16,6.2,24.39,38.41,1
162,24,18,10.91,15,12,100,0,0,27.09,37.65,8.82,94.88,89.31,0
163,33,160,12.72,15,14,91,3,10,79.2,96.03,5.71,35.22,58.07,1
164,42,80,12.35,10,12,51,4,18,40.74,54.37,7.62,54.36,51.05,1
165,26,89,9.41,1,2,1,0,3,81.24,32.71,6.55,65.77,21.51,0
166,24,157,11.45,7,11,106,3,6,39.76,92.5,5.99,76.95,48.23,1
167,33,69,8.96,7,10,84,1,10,31.14,62.59,6.1,50.83,39.52,0
168,35,175,9.17,6,20,42,1,11,83.02,69.95,7.49,30.87,71.64,1
169,25,48,9.93,15,11,61,0,0,32.1,38.03,6.96,38.82,82.3,1
170,49,60,14.33,1,27,58,2,8,83.34,63.91,5.39,83.52,46.43,1
171,25,1,6.75,9,1,16,2,6,63.63,24.98,7.78,58.44,78.54,0
172,37,31,8.88,6,20,20,1,3,80.54,61.55,7.39,85.97,84.0,0
173,47,124,9.63,9,16,63,1,2,92.74,63.1,6.96,57.34,18.97,1
174,38,170,10.01,2,4,51,2,11,61.87,42.97,7.44,67.59,77.82,1
175,35,142,9.14,9,27,84,3,1,45.34,88.57,8.02,87.96,33.54,1
176,25,159,7.97,11,15,107,4,3,83.89,97.42,5.97,94.13,51.26,1
177,41,20,7.15,11,5,95,2,4,64.78,62.19,8.41,73.95,85.67,1
178,49,8,8.29,3,5,50,2,11,99.05,92.1,5.41,39.07,79.64,1
179,32,29,10.09,7,25,62,0,20,53.61,92.43,5.99,75.48,26.26,0
180,42,16,13.03,4,11,11,2,2,22.49,79.14,6.62,20.29,67.94,0
181,26,147,10.17,6,30,67,3,14,44.42,37.01,6.43,22.49,35.84,1
182,32,144,9.36,6,8,99,3,12,91.91,72.06,6.54,48.46,29.27,1
183,41,71,8.52,14,13,84,0,7,79.19,93.45,5.78,41.0,82.96,1
184,30,18,8.48,8,27,84,4,6,69.71,64.73,7.68,67.63,48.24,1
185,44,165,5.6,13,10,53,2,8,43.99,79.46,7.63,23.61,86.75,1
186,34,85,10.8,8,23,55,4,16,42.82,54.33,8.02,63.0,66.0,1
187,36,19,8.87,4,28,73,4,8,73.54,86.34,5.17,85.92,58.6,0
188,32,75,10.36,13,14,15,0,18,91.4,55.47,8.93,64.38,69.72,1
189,24,54,7.07,5,11,45,2,11,96.04,68.05,7.04,75.77,53.03,0
190,45,144,9.39,12,11,6,1,7,39.11,57.57,5.3,66.69,49.93,0
191,36,83,9.16,5,16,46,0,7,22.94,28.64,5.25,45.41,78.22,0
192,31,53,14.46,13,8,9,4,16,69.37,29.11,7.12,85.57,51.95,0
193,31,146,10.52,12,0,40,3,18,52.88,92.61,6.9,73.55,61.67,1
194,27,7,7.92,8,26,46,4,14,24.76,68.3,6.15,48.79,48.78,0
195,38,146,11.26,0,0,76,1,18,48.38,95.34,9.0,70.14,67.69,1
196,30,141,5.53,1,18,118,0,6,89.9,77.92,7.07,30.66,11.0,0
197,50,11,8.74,12,14,90,4,20,84.64,37.28,4.74,55.0,79.42,1
198,31,145,7.7,3,2,45,0,20,88.94,67.22,6.33,53.76,59.24,0
199,29,62,8.84,7,6,34,3,4,71.66,23.58,6.59,77.14,90.46,1
200,38,162,5.0,10,14,95,2,10,44.9,74.17,5.05,36.34,93.98,1
201,21,30,7.38,4,29,120,2,2,97.12,50.74,7.51,22.92,12.63,0
202,38,5,8.28,10,28,15,4,9,92.01,29.29,6.89,86.63,61.25,0
203,48,112,9.4,13,19,17,4,15,81.88,98.41,6.07,55.84,55.24,1
204,43,178,7.65,2,9,98,4,18,34.17,60.6,5.66,82.3,56.31,1
205,21,91,9.65,3,18,17,2,17,69.87,65.55,6.57,66.55,27.11,0
206,37,100,8.79,3,21,19,2,20,67.93,48.28,6.35,75.94,56.69,0
207,25,19,7.95,5,16,115,2,15,27.49,80.37,6.96,56.89,35.71,1
208,50,150,6.51,14,26,75,0,18,66.18,89.25,6.93,82.06,74.98,1
209,24,134,11.33,15,7,19,2,4,60.83,70.13,6.75,89.48,11.62,1
210,31,66,8.52,5,9,42,4,15,85.58,46.67,7.25,79.5,94.2,1
211,38,7,11.42,14,4,13,4,8,81.29,87.67,5.27,66.02,17.53,0
